Text,Date,Time,Draft,Facebook,Twitter,Linkedin,GMB,Instagram,Pinterest,TikTok,Picture Url 1,Shortener
"Want your backyard back on warm evenings? Weekly water tip-outs, clean gutters, screened tanks, a fan where you sit — and a seasonal barrier treatment does the rest. 🌇 📞 (07) 3113 9666 #MozzieSeason #BrisbaneBackyards #SlugABug",08/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-077.jpg,FALSE
"Wynnum, Manly & Lota! ⚓ Salt air doesn’t slow termites down — older bayside timber homes are their favourite menu. Annual inspections are essential. 📞 (07) 3113 9666 #Wynnum #Bayside #SlugABug",09/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-045.jpg,FALSE
"Gym owners: warm + damp change rooms are an open invitation for silverfish, roaches and drain flies. Overnight service keeps your floor open. 🏋️ 📞 (07) 3113 9666 #GymLife #BrisbaneFitness #SlugABug",10/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-055.jpg,FALSE
"Ants can lift 20x their own body weight — and a colony can number 500,000. 💪 When scouts find your kitchen, the rest are coming. We treat the trail AND the nest. 📞 (07) 3113 9666 #AntControl #BrisbanePestControl #SlugABug",11/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-027.jpg,FALSE
"Wasps circling the BBQ? They’re not visiting — there’s a nest nearby. 🍺🐝 We find it and remove it safely before your next cook-up. 📞 (07) 3113 9666 #BBQSeason #WaspRemoval #SlugABug",12/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-062.jpg,FALSE
"Kids, pets, veggie patch — all accounted for. We explain what we use, where it goes and when it’s dry, before we start. 20+ years of family homes. 👨‍👩‍👧 📞 (07) 3113 9666 #FamilySafe #BrisbaneFamilies #SlugABug",13/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-083.jpg,FALSE
"MYTH: “One spray lasts forever.” FACT: weather and time wear every treatment down — that’s why protection runs on a yearly rhythm, backed by our 30-day guarantee. 📞 (07) 3113 9666 #MythBusted #PestControl #SlugABug",14/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-070.jpg,FALSE
"Blocked gutters: moisture for termites, nurseries for mozzies, and a rodent bridge straight into the roof void. Clean gutters are DIY pest control — we handle the rest. 🪜 📞 (07) 3113 9666 #HomeMaintenance #BrisbaneHomes #SlugABug",15/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-078.jpg,FALSE
"Sunnybank! 🥟 Brisbane’s best food scene deserves audit-ready pest control — and the homes around it get the same standard. 📞 (07) 3113 9666 #Sunnybank #BrisbaneFood #SlugABug",16/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-046.jpg,FALSE
"Medical clinics need pest control that’s as precise as they are — sensitive products, after-hours scheduling, inspection-proof documentation. 📞 (07) 3113 9666 #MedicalClinic #PracticeManagement #SlugABug",17/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-056.jpg,FALSE
"Mosquitoes find you by tracking your breath — CO₂, body heat and dark clothing. 🦟 And they breed in a bottle-cap of water. A yard treatment changes your whole summer. 📞 (07) 3113 9666 #Mosquitoes #BrisbaneBackyards #SlugABug",18/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-028.jpg,FALSE
"Heading away these holidays? An empty, quiet house is a pest’s dream Airbnb. 🧳 A pre-trip treatment means you come home to YOUR house — not theirs. 📞 (07) 3113 9666 #HolidayPrep #BrisbaneHomes #SlugABug",19/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-063.jpg,FALSE
"From North Lakes and Redcliffe, through the CBD and bayside, down to Shailer Park — one local team covers the whole corridor. Your suburb? Almost certainly yes. 🗺️ 📞 (07) 3113 9666 #Brisbane #LocalBusiness #SlugABug",20/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-084.jpg,FALSE
"Shailer Park, Cornubia & Daisy Hill! 🌿 Bushland on the doorstep is beautiful — and busy. We keep the wildlife’s hangers-on out of your yard. 📞 (07) 3113 9666 #ShailerPark #LoganPestControl #SlugABug",21/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-047.jpg,FALSE
"Retail managers: stock loss sometimes has six legs (or four, and a tail 🐀). Gnawed packaging and failed audits compound daily — scheduled monitoring stops the bleed. 📞 (07) 3113 9666 #Retail #StockLoss #SlugABug",22/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-057.jpg,FALSE
"Rodent teeth never stop growing — so they never stop chewing. Wiring, pipes, timber… rodent-damaged cables are a leading cause of unexplained house fires. 🔥 📞 (07) 3113 9666 #RodentControl #BrisbanePestControl #SlugABug",23/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-029.jpg,FALSE
"5 stars is the only rating we chase — 1,200+ reviews came from turning up on time, doing it properly, and honouring the guarantee. That’s the whole trick. ⭐ 📞 (07) 3113 9666 #FiveStars #BrisbanePestControl #SlugABug",24/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-085.jpg,FALSE
"Silverfish can survive a YEAR without eating — but with your books, photos and clothes on the menu, they don’t have to. 📚 📞 (07) 3113 9666 #Silverfish #BrisbanePestControl #SlugABug",25/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-030.jpg,FALSE
"20+ years in the same Brisbane suburbs teaches you things you can’t google — where termites press hardest, which streets get ants after storms, what a Queenslander subfloor hides. 📞 (07) 3113 9666 #LocalKnowledge #Brisbane #SlugABug",26/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-086.jpg,FALSE
"By late summer a single wasp nest can hold 6,000 residents. 🐝 Please don’t introduce it to your broom — we remove nests safely and stop the rebuild. 📞 (07) 3113 9666 #WaspRemoval #BrisbanePestControl #SlugABug",27/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-031.jpg,FALSE
"Every tech licensed, every job insured — no subcontracted mystery guests. Ask to see the licence at the door; our techs love that question. 📋 📞 (07) 3113 9666 #Licensed #BrisbanePestControl #SlugABug",28/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-087.jpg,FALSE
"A cockroach can hit 5km/h — scaled to our size, that’s sprinting at 300km/h. 🏃 You won’t win with a thong. One treatment gets the whole family. 📞 (07) 3113 9666 #CockroachControl #BrisbanePestControl #SlugABug",29/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-032.jpg,FALSE
"Our promise: pests back within 30 days → we re-treat FREE. Still unhappy → refund + $25. We can only offer that because it almost never happens. 📞 (07) 3113 9666 #Guarantee #BrisbanePestControl #SlugABug",30/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-088.jpg,FALSE
"One female bed bug can lay 500 eggs in her lifetime — a few bites becomes every-room-in-the-house within weeks. Early treatment is everything. 📞 (07) 3113 9666 #BedBugs #BrisbanePestControl #SlugABug",31/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-033.jpg,FALSE
"Wherever you’re reading this — you’re not far from a spider. 🕷️ Most are harmless; redbacks and white-tails are the Brisbane exceptions. A perimeter treatment keeps them out of reach. 📞 (07) 3113 9666 #SpiderControl #Brisbane #SlugABug",01/11/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-034.jpg,FALSE
"Termites never sleep — they eat 24/7, no weekends, no public holidays. 😳 The only defence is catching them early. 📞 (07) 3113 9666 #Termites #TermiteInspection #SlugABug",02/11/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-035.jpg,FALSE
"A flea can jump 150 times its own height — straight from the lawn onto your pet, and from the carpet onto you. Treat yard + house + pet the same week. 📞 (07) 3113 9666 #FleaTreatment #BrisbanePets #SlugABug",03/11/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-036.jpg,FALSE
"Huntsmen actually eat cockroaches — nature’s pest control. But if eight legs on the sun visor isn’t your vibe, we’ll keep them (and their dinner) outdoors. 🕷️ 📞 (07) 3113 9666 #Huntsman #BrisbanePestControl #SlugABug",04/11/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-037.jpg,FALSE
"Average termite repair bill in Australia: $10,000+. Annual inspection: a few hundred. Insurance covers neither the damage nor the maths. 🧮 📞 (07) 3113 9666 #Termites #BrisbaneHomes #SlugABug",05/11/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-095.jpg,FALSE
"Cockroaches aren’t just gross — droppings and shed skins become airborne allergens and a recognised asthma trigger, especially for kids. A roach-free home literally breathes easier. 📞 (07) 3113 9666 #AsthmaAwareness #HealthyHome #SlugABug",06/11/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-096.jpg,FALSE
"Read your home insurance PDS: termite damage is almost always excluded. Prevention is the only cover you can actually buy. 📄 📞 (07) 3113 9666 #Termites #HomeInsurance #SlugABug",07/11/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-097.jpg,FALSE
"Brisbane’s subtropical climate means pests get no winter die-off — 365 days of activity a year. The upside? Year-round protection works year-round too. 🌏 📞 (07) 3113 9666 #Brisbane #PestControl #SlugABug",08/11/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-098.jpg,FALSE
"The deadliest animal on Earth isn’t a shark or a snake — it’s the mosquito, spreader of more disease than anything alive. In QLD that includes Ross River virus. 🦟 📞 (07) 3113 9666 #Mosquitoes #QLDHealth #SlugABug",09/11/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-099.jpg,FALSE
"Post #100! 🎉 Whatever’s crawling, scurrying, swarming or silently chewing — one call sorts it. Save the number, use it once a year. 📞 (07) 3113 9666 #SlugABug #BrisbanePestControl #FamilyOwned",10/11/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-100.jpg,FALSE
