Text,Date,Time,Draft,Facebook,Twitter,Linkedin,GMB,Instagram,Pinterest,TikTok,Picture Url 1,Shortener
"A cockroach can live a WEEK without its head. 🪳 Imagine what it can survive under your fridge. If you're seeing roaches in daylight, there are hundreds you don't see. One treatment, 30-day guarantee. 📞 (07) 3113 9666",13/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-002.jpg,FALSE
"🚨 Seen ""flying ants"" at dusk? That's probably a termite swarm — and it means a mature nest is nearby, possibly already in your walls. Don't spray them. Don't touch them. Call us before they disappear. 📞 (07) 3113 9666",14/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-009.jpg,FALSE
"One visit. Every pest. ✅ Cockroaches ✅ Spiders ✅ Ants ✅ Silverfish & wasps — all covered in one general treatment, backed by our 30-day guarantee. Afterpay available. 📞 (07) 3113 9666",15/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-013.jpg,FALSE
"5 signs termites are already home: mud tubes on walls, sticking doors and windows, hollow-sounding timber, blistering paint, discarded wings on the sills. Spotted one? Don't disturb it — early detection saves thousands. 📞 (07) 3113 9666",16/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-023.jpg,FALSE
"Our 30-day guarantee, in plain English: not happy? We re-treat FREE. Still not happy? Full refund + $25 for your trouble. No fine print, no hoops — just pest control that has to work. 📞 (07) 3113 9666",17/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-019.jpg,FALSE
"Supermarket sprays kill the ones you see. We stop the thousands you don't. 🎯 Nests, egg cases, trails and entry points — a professional treatment breaks the breeding cycle instead of the surface. Stop repeat-buying spray cans. 📞 (07) 3113 9666",18/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-024.jpg,FALSE
"Little moths flying out of the pantry? Webbing in the flour? Eviction time: bin it, airtight everything, vinegar-wipe, freeze new bulk buys. Still fluttering — call us. 📞 (07) 3113 9666 #PantryMoths #KitchenTips #SlugABug",19/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-071.jpg,FALSE
"Chermside! Units and townhouses share more than walls — roaches and ants travel between neighbours fast. We treat single units or whole complexes. 📞 (07) 3113 9666 #Chermside #BrisbanePestControl #SlugABug",20/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-039.jpg,FALSE
"Aged care facilities run on zero-tolerance standards — so do we. Discreet scheduled treatments, sensitive-environment products, accreditation-ready docs. 📞 (07) 3113 9666 #AgedCare #FacilityManagement #SlugABug",21/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-049.jpg,FALSE
"“Is it safe for my pets?” Yes — pet-considerate products, bowls and tanks covered, and clear drying times before paws hit floors. Tell us about your crew when you book. 🐕 📞 (07) 3113 9666 #AskSlugABug #PetSafe #SlugABug",22/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-090.jpg,FALSE
"Spraying one ant does nothing — they follow an invisible scent trail, and thousands more are already on the way. We treat the trail, the nest and the entry points. Ants keep coming back? We end the trail. 📞 (07) 3113 9666",23/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-003.jpg,FALSE
"Ever noticed ants invade your kitchen the day after a downpour? ⛈️ Flooded nests send whole colonies looking for higher, drier ground — aka your house. A perimeter treatment keeps them out all storm season. 📞 (07) 3113 9666",24/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-010.jpg,FALSE
"A barrier they can't cross. 🛡️ Sentricon, Trelona ATBS and Australian-Standard chemical barriers — the right system for your block, installed by licensed techs. Protection that works while you sleep. 📞 (07) 3113 9666",25/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-015.jpg,FALSE
"Family owned. Brisbane grown. 🌱 20+ years keeping local homes pest-free — no call centres, no franchises. The techs who quote your job are the ones who turn up. Real people, real guarantees. 📞 (07) 3113 9666",26/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-020.jpg,FALSE
"MYTH: “Clean homes don’t get pests.” FACT: pests come for warmth, water and shelter — not mess. The tidiest home in Brisbane still qualifies. 📞 (07) 3113 9666 #MythBusted #BrisbanePestControl #SlugABug",27/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-064.jpg,FALSE
"Five free yard upgrades that genuinely cut pests: no standing water, firewood off the ground, regular mowing, sealed bins, mulch pulled back from walls. Then we seal the rest. 🌱 📞 (07) 3113 9666 #YardTips #BrisbaneGardens #SlugABug",28/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-072.jpg,FALSE
"Redcliffe Peninsula — Scarborough to Clontarf! 🌊 Older Queenslanders + coastal conditions are exactly what termites like. Local techs who know the peninsula. 📞 (07) 3113 9666 #Redcliffe #PeninsulaLocals #SlugABug",29/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-040.jpg,FALSE
"Schools: major pest work in the holidays, rapid response during term (looking at you, oval wasp nest 🐝), and records your admin will love. 📞 (07) 3113 9666 #Schools #FacilitiesManagement #SlugABug",30/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-050.jpg,FALSE
"“How long does a treatment take?” Most homes: about 1–2 hours, in and out — inside, outside, roof void, perimeter. Book it in a lunch break. ⏱️ 📞 (07) 3113 9666 #AskSlugABug #PestControl101 #SlugABug",31/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-091.jpg,FALSE
"Redbacks love your meter box. And your letterbox. And that pair of gloves in the shed. 🕷️ Bites spike in the warm months — a perimeter treatment keeps sheds, fences and play equipment clear. Kids and pets outside? Get the yard treated. 📞 (07) 3113 9666",01/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-004.jpg,FALSE
"Heat + humidity = cockroach season. Brisbane summers are a roach's dream — warmth speeds up breeding, and one female's family tree can hit 30,000 in a year. 🥵 Get ahead of them before it peaks. 📞 (07) 3113 9666",02/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-011.jpg,FALSE
"One roach can close a kitchen. For cafés, restaurants and food businesses we deliver scheduled treatments, full reporting and audit-ready compliance documentation — so inspectors find nothing, and neither do your customers. 📞 (07) 3113 9666",03/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-016.jpg,FALSE
"Fully licensed (QLD Pest PMT 1004307814 · QBCC 1122314), fully insured, fully guaranteed. And yes — Afterpay is available, because pest control shouldn't have to wait for payday. 📞 (07) 3113 9666",04/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-021.jpg,FALSE
"MYTH: “The cat will handle it.” FACT: one pair of rats can produce 200+ descendants a year. Mittens is doing her best — she’s outnumbered. 🐱 📞 (07) 3113 9666 #MythBusted #RodentControl #SlugABug",05/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-065.jpg,FALSE
"Moving out with pets? Most leases require a professional flea treatment — we do fast end-of-lease visits with the receipt your property manager wants. 🏡 📞 (07) 3113 9666 #EndOfLease #BrisbaneRentals #SlugABug",06/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-073.jpg,FALSE
"Strathpine, Bray Park & Warner! 🌳 Leafy blocks bring spiders to the fence line and rodents to the roof each winter. One yearly treatment keeps it all calm. 📞 (07) 3113 9666 #Strathpine #PineRivers #SlugABug",07/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-041.jpg,FALSE
"Hospitality friends: one roach near a table becomes a Google review headline. Scheduled programs invisible to diners, audit-ready for inspectors. ⭐ 📞 (07) 3113 9666 #BrisbaneCafes #Hospitality #SlugABug",08/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-051.jpg,FALSE
"“Do we need to leave during treatment?” Usually not — modern low-odour products mean most families stay home. If clear time is needed, we schedule around naps and school runs. 📞 (07) 3113 9666 #AskSlugABug #FamilyFriendly #SlugABug",09/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-092.jpg,FALSE
"20mm. About the width of your thumb — and all the gap a rat needs to move into your roof. 🐀 They chew wiring, contaminate food and a single pair can become 200+ in a year. We find the entry points and close them for good. 📞 (07) 3113 9666",10/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-005.jpg,FALSE
"Doing the big spring clean? While everything’s pulled out anyway — check behind the fridge, under sinks, and finish with a professional treatment. One visit covers the year. 🌸 📞 (07) 3113 9666 #SpringClean #BrisbaneHomes #SlugABug",11/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-058.jpg,FALSE
"Buying a home? Don't buy their termites. 🏡 A pre-purchase pest inspection with Termatrac radar detection and a full written report is the cheapest insurance in the whole deal. Know exactly what you're buying — before you sign. 📞 (07) 3113 9666",12/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-017.jpg,FALSE
"Pests don’t wait for payday — so protection doesn’t have to either. Afterpay available on every treatment, same 30-day guarantee. 📞 (07) 3113 9666 #Afterpay #BrisbanePestControl #SlugABug",13/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-079.jpg,FALSE
"Those plug-in ultrasonic pest repellers? Independent testing keeps finding the same thing: pests ignore them. Put the money toward a treatment with a written guarantee. 📞 (07) 3113 9666 #MythBusted #PestControl #SlugABug",14/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-066.jpg,FALSE
"Moving house? Roaches ride in cardboard and bed bugs ride in secondhand couches. Treat the new place BEFORE the furniture arrives — fresh start, actually fresh. 📦 📞 (07) 3113 9666 #MovingHouse #BrisbaneMoves #SlugABug",15/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-074.jpg,FALSE
"Caboolture & Morayfield! 🚜 Acreage and sheds are prime pest territory — rodents, wasps, termites in the fence posts. We handle the lot. 📞 (07) 3113 9666 #Caboolture #Morayfield #SlugABug",16/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-042.jpg,FALSE
"Warehouse managers: pallets + cardboard + quiet corners = rodent paradise. A mapped, monitored baiting program costs less than one contaminated consignment. 📞 (07) 3113 9666 #Warehouse #Logistics #SlugABug",17/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-052.jpg,FALSE
"Booked in? Prep takes five minutes: clear benches, stash toys and pet bowls, secure pets, unlock access, note where you’ve seen the action. We do the rest. ✅ 📞 (07) 3113 9666 #AskSlugABug #PestControl101 #SlugABug",18/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-093.jpg,FALSE
"Bed bugs can wait MONTHS between meals. Moving house or just back from a holiday? They hitchhike in luggage. Itchy bites in a line, blood spots on sheets, dark specks on the mattress seam = time to call. 📞 (07) 3113 9666",19/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-006.jpg,FALSE
"Rodents love Christmas too — a December pantry full of hampers and baking supplies is their jackpot. 🎄 Get sealed and treated before the relatives arrive. 📞 (07) 3113 9666 #Christmas #BrisbaneHomes #SlugABug",20/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-059.jpg,FALSE
"Our Termatrac radar literally sees termite movement through walls — no drilling, no guesswork, no “open it up and see”. Detection first, drama never. 📡 📞 (07) 3113 9666 #Termatrac #TermiteInspection #SlugABug",21/09/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-080.jpg,FALSE
